month,15time,15pro,16time,16pro,17time,17pro,18time,18pro,19time,19pro,20time,20pro,21time,21pro,22time,22pro,
1,14:25 ~ 14:50,흑점 관측,15:25 ~ 15:50,흑점 관측,16:25 ~ 16:50,흑점 관측,17:25 ~ 17:50,--,18:25 ~ 18:50,밤하늘 관측,19:25 ~ 19:50,밤하늘 관측,20:25 ~ 20:50,밤하늘 관측,21:25 ~ 21:50,밤하늘 관측,
2,14:25 ~ 14:50,흑점 관측,15:25 ~ 15:50,흑점 관측,16:25 ~ 16:50,흑점 관측,17:25 ~ 17:50,--,18:25 ~ 18:50,밤하늘 관측,19:25 ~ 19:50,밤하늘 관측,20:25 ~ 20:50,밤하늘 관측,21:25 ~ 21:50,밤하늘 관측,
3,14:25 ~ 14:50,흑점 관측,15:25 ~ 15:50,흑점 관측,16:25 ~ 16:50,흑점 관측,17:25 ~ 17:50,흑점 관측,18:25 ~ 18:50,--,19:25 ~ 19:50,밤하늘 관측,20:25 ~ 20:50,밤하늘 관측,21:25 ~ 21:50,밤하늘 관측,
4,14:25 ~ 14:50,흑점 관측,15:25 ~ 15:50,흑점 관측,16:25 ~ 16:50,흑점 관측,17:25 ~ 17:50,흑점 관측,18:25 ~ 18:50,--,19:25 ~ 19:50,밤하늘 관측,20:25 ~ 20:50,밤하늘 관측,21:25 ~ 21:50,밤하늘 관측,
5,14:25 ~ 14:50,흑점 관측,15:25 ~ 15:50,흑점 관측,16:25 ~ 16:50,흑점 관측,17:25 ~ 17:50,흑점 관측,18:25 ~ 18:50,--,19:25 ~ 19:50,밤하늘 관측,20:25 ~ 20:50,밤하늘 관측,21:25 ~ 21:50,밤하늘 관측,
6,14:25 ~ 14:50,흑점 관측,15:25 ~ 15:50,흑점 관측,16:25 ~ 16:50,흑점 관측,17:25 ~ 17:50,흑점 관측,18:25 ~ 18:50,--,19:25 ~ 19:50,밤하늘 관측,20:25 ~ 20:50,밤하늘 관측,21:25 ~ 21:50,밤하늘 관측,
7,14:25 ~ 14:50,흑점 관측,15:25 ~ 15:50,흑점 관측,16:25 ~ 16:50,흑점 관측,17:25 ~ 17:50,흑점 관측,18:25 ~ 18:50,--,19:25 ~ 19:50,밤하늘 관측,20:25 ~ 20:50,밤하늘 관측,21:25 ~ 21:50,밤하늘 관측,
8,14:25 ~ 14:50,흑점 관측,15:25 ~ 15:50,흑점 관측,16:25 ~ 16:50,흑점 관측,17:25 ~ 17:50,흑점 관측,18:25 ~ 18:50,--,19:25 ~ 19:50,밤하늘 관측,20:25 ~ 20:50,밤하늘 관측,21:25 ~ 21:50,밤하늘 관측,
9,14:25 ~ 14:50,흑점 관측,15:25 ~ 15:50,흑점 관측,16:25 ~ 16:50,흑점 관측,17:25 ~ 17:50,흑점 관측,18:25 ~ 18:50,--,19:25 ~ 19:50,밤하늘 관측,20:25 ~ 20:50,밤하늘 관측,21:25 ~ 21:50,밤하늘 관측,
10,14:25 ~ 14:50,흑점 관측,15:25 ~ 15:50,흑점 관측,16:25 ~ 16:50,흑점 관측,17:25 ~ 17:50,--,18:25 ~ 18:50,밤하늘 관측,19:25 ~ 19:50,밤하늘 관측,20:25 ~ 20:50,밤하늘 관측,21:25 ~ 21:50,밤하늘 관측,
11,14:25 ~ 14:50,흑점 관측,15:25 ~ 15:50,흑점 관측,16:25 ~ 16:50,흑점 관측,17:25 ~ 17:50,--,18:25 ~ 18:50,밤하늘 관측,19:25 ~ 19:50,밤하늘 관측,20:25 ~ 20:50,밤하늘 관측,21:25 ~ 21:50,밤하늘 관측,
12,14:25 ~ 14:50,흑점 관측,15:25 ~ 15:50,흑점 관측,16:25 ~ 16:50,흑점 관측,17:25 ~ 17:50,--,18:25 ~ 18:50,밤하늘 관측,19:25 ~ 19:50,밤하늘 관측,20:25 ~ 20:50,밤하늘 관측,21:25 ~ 21:50,밤하늘 관측,
